"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPCC417.03",11.3204278529961,0.0961945043994016,0.630993131944485,0.152449368352023,0.878832521766671,0.921086681415361
"SPCC417.04",39.6028131289579,0.653197037691741,0.322100266245993,2.02793075989848,0.0425673152235514,0.0937497713913142
"SPNCRNA.1216",38.669278528385,1.91382992836821,0.363519834010358,5.26471941642028,1.40403623227319e-07,1.23450247587628e-06
"SPCC417.05c",630.501427001124,0.530630497266325,0.0927668768085604,5.72004270836204,1.06497280645026e-08,1.12481570563625e-07
"SPNCRNA.583",287.161927213395,-0.0242055241159529,0.128682588822169,-0.188102557910173,0.850796255968337,0.900555826011785
"SPCC417.06c",231.117225503956,-0.00105193307551171,0.142455900902393,-0.00738427168582135,0.994108257172795,0.996398986883252
"SPNCRNA.1217",328.859248181629,0.145386282141144,0.1184405512181,1.22750426814061,0.219633118606278,0.348715734787251
"SPCC417.07c",337.169258744455,0.632690922437542,0.129442182293197,4.88782645061133,1.01955345237285e-06,7.71220976223943e-06
"SPCTRNASER.11",9.30971077854522,-3.64194889185418,0.935452401676766,-3.89324874822718,9.89106383676562e-05,0.000490496199537822
"SPCTRNAMET.07",5.58113019444628,-3.29968702082667,1.11641438348375,-2.9556113479388,0.00312050035997758,0.0103112393508115
"SPRRNA.05",5.38798459109084,-0.46417014033967,0.869620540208409,-0.533761702809399,0.593506413231584,0.712736975567532
"SPCC417.09c",230.75084385962,-0.163335322065953,0.137200747071133,-1.19048420327675,0.233856135133118,0.364375521811661
"SPCC417.10",174.785097115781,-0.0644338499696445,0.160415522706616,-0.401668422621965,0.687928066843547,0.786878994144764
"SPCC417.11c",177.021919847376,0.577635931539003,0.156486046370746,3.69129353661649,0.000223116466443459,0.00101555947334471
"SPCC417.12",79.6901603743661,-0.0169739401599493,0.251802373769841,-0.0674097702330014,0.94625549136149,0.967362112713853
"SPCTRNAASN.06",0.941106152859141,-3.27216751745484,2.14702235111436,-1.52404911656207,0.127496442145672,0.229043766392817
"SPCC417.15",4.90778430569545,3.89448789157114,1.3226608184474,2.94443430791476,0.00323545623435227,0.0106335715372401
"SPNCRNA.32",6.99407359489522,4.43208988233014,1.25311113689375,3.53686895905859,0.000404900508525114,0.00171061063137266
"SPCC417.16",86.3950770632821,2.18566542511303,0.256777627719492,8.51189974969581,1.71106487258901e-17,4.85813506212042e-16
"SPNCRNA.1218",27.5083779612335,1.19897811804264,0.409369013042869,2.92884434298178,0.00340224752936986,0.0111229204086682
"SPNCRNA.1219",41.8736326047903,1.80742789238307,0.890831898073147,2.02892138942544,0.0424662977778767,0.0935877098638412
"SPCC191.01",401.318675173888,0.752518153845376,0.115899131352785,6.49287138792082,8.42155813250014e-11,1.15614267883397e-09
"SPCC191.02c",696.114334937335,-0.799633232295142,0.104711926825946,-7.63650575950444,2.23196277166069e-14,4.74413769191305e-13
"SPCC191.03c",93.6166947498395,-0.80929077271135,0.218676998530636,-3.70085001234352,0.000214878464482318,0.000982651315792801
"SPCC191.04c",7.23649867486037,-0.765349670193498,0.7331029426511,-1.04398662952543,0.2964915756804,0.435701490602491
"SPCC191.05c",71.4379165035476,-2.13979142006211,0.301008434077991,-7.10874240655892,1.17105076239272e-12,2.13638485342393e-11
"SPCC191.06",115.944733892853,-1.10930502095075,0.211497808441841,-5.2449953459248,1.56286272264949e-07,1.36885909584564e-06
"SPNCRNA.1220",17.91127848238,0.0879126269061947,0.455828348836581,0.192863447678442,0.847065912071654,0.89933051128575
"SPNCRNA.1221",6.40413726755772,0.542832484230708,0.771358436081323,0.703735719788613,0.481597371192996,0.61684604160875
"SPCC191.07",495.524868943493,0.268160968093225,0.107740526679391,2.48895170979817,0.0128120366652312,0.0348134313687266
"SPCC191.08",50.3675625654701,0.286802264833598,0.285773440533425,1.00360013967097,0.315571387230965,0.455210058155787
"SPCC191.09c",9.07082694564997,-0.937929427542249,0.716642630701588,-1.30878263078492,0.190607992164575,0.313377910973228
"SPNCRNA.1223",24.7856586881366,4.05035511470218,0.609476452000891,6.6456301985171,3.01922434245499e-11,4.45891075510181e-10
"SPCC191.10",10.1428614204158,4.35430835063296,1.00911697497897,4.31496888725283,1.59625383188125e-05,9.57050957374847e-05
"SPCC191.11",371.643685455074,3.42613727582729,0.164450813927699,20.8338116060258,2.13754197574572e-96,1.4584448900513e-93
"SPNCRNA.1224",24.4358313554855,1.31385146724421,0.413026785154593,3.18103211333483,0.00146751361316311,0.00530060634336257
"SPCC1450.01c",21.861222919848,1.17961977606104,0.430530621704476,2.73992073174938,0.00614540038157426,0.0185203475280394
"SPNCRNA.500",15.2952523293274,0.980468807534059,0.519548999932918,1.8871536807128,0.0591396582767113,0.122983812380982
"SPCC1450.02",422.215214628146,-0.0150801025610709,0.107723632640318,-0.139988804605415,0.88866883591536,0.928153528111705
"SPCC1450.03",50.8222772000741,-0.606577146687137,0.29102173421314,-2.08430187637769,0.0371327167838239,0.0841436488263136
"SPCC1450.04",472.487153889379,-0.627316738446067,0.105628560840082,-5.93889316920452,2.86952769838832e-09,3.33273511520226e-08
"SPCC1450.05c",77.9290126835607,-0.103113328790037,0.226440237180451,-0.455366634808218,0.648845494819895,0.757671198212587
"SPNCRNA.1225",77.9136755313897,-0.126739086678092,0.227889063402453,-0.556143786743597,0.578112563825539,0.699712609993333
"SPCC1450.06c",53.1846449941987,-0.825398290104212,0.289399151683431,-2.8521102612184,0.00434300331722343,0.0137441148577994
"SPCC1450.08c",9.64196720894512,-1.34800955654844,0.719336936396525,-1.87396126674826,0.0609357639380521,0.126295479146212
"SPCC1450.09c",171.628154239923,0.0383196605501721,0.1537877825033,0.249172332980026,0.803227479681613,0.868931579411614
"SPNCRNA.1226",171.273131582488,0.037802567607221,0.15407270358418,0.2453553856577,0.806181270422098,0.870206424314187
"SPNCRNA.501",33.8699061875082,0.417633673626216,0.350745373696659,1.19070329916142,0.23377008230643,0.364324639464772
"SPCC1450.10c",77.8448272403424,-0.231518555626302,0.225223420160228,-1.02795062547934,0.303973053788018,0.443655913948033
"SPCC1450.11c",595.027470363948,0.0288811488450325,0.0963161558767453,0.299857781720352,0.764285638573938,0.844744429704947
"SPCC1450.12",250.493745100573,-0.294148869119551,0.144647204423143,-2.03356069197897,0.0419959084588619,0.0928208886993245
"SPCC1450.13c",219.025455773386,0.296098501871636,0.151320905980471,1.95675871719833,0.0503758428299531,0.107984409559777
"SPCC1450.14c",446.546235475017,-0.242063689458919,0.110751811726502,-2.1856409000034,0.0288418878470697,0.0684718861449396
"SPCC1450.15",249.772414381111,-0.681653465035034,0.133056699865128,-5.12302999943625,3.00664490538032e-07,2.49870136290011e-06
"SPCC1450.16c",158.03916344658,0.348122276998441,0.179462057241177,1.93980990940387,0.0524027959153576,0.111384509822581
"SPNCRNA.1227",297.483536533122,1.14736159916525,0.12674744920247,9.05234469320496,1.39930784974782e-19,4.87468126193507e-18
"SPCC1442.01",256.563343085841,1.24665192479224,0.135863902379892,9.17574059742847,4.48480913256833e-20,1.66303547345183e-18
"SPCC1442.03",162.109971598212,-0.21891938359269,0.161377613779286,-1.3565659973886,0.174919151942903,0.292589696912584
"SPCC1442.04c",310.888344041616,0.670762807821908,0.119380308892258,5.61870558089506,1.92393378680378e-08,1.97102105515949e-07
"SPCC1442.05c",82.895336290704,-0.211664889493122,0.226403340742513,-0.93490179428866,0.349838912323747,0.49073826044098
"SPCC1442.06",361.247009935776,-0.547070547019547,0.116193342305879,-4.70827791130564,2.49818351181156e-06,1.75180946568245e-05
"SPCC1442.07c",109.956111293881,-0.739098549619913,0.198619499202148,-3.72117819543832,0.000198295445336581,0.000910477673978122
"SPCC1442.08c",105.990618763382,-0.443103409014867,0.19215843982363,-2.30592738690823,0.0211146900489995,0.053082361902846
"SPNCRNA.1228",29.3117117772262,0.171915832765532,0.366007639607237,0.469705585790545,0.638565376539362,0.75080674894504
"SPNCRNA.502",9.72501648051573,1.33204233240538,0.675158117991624,1.97293389046076,0.048503094803534,0.104660536320213
"SPCC1442.09",359.977053541454,-0.379654481420513,0.114967633790927,-3.30227272582585,0.000959047726306943,0.00366176980223406
"SPCC1442.19",47.448904715847,0.246573650785029,0.298738585981466,0.825382666838781,0.409154372356195,0.549323156746619
"SPNCRNA.503",15.2171356362555,0.256637546560074,0.526707634230187,0.487248579442303,0.62608218267614,0.740185934533123
"SPCC1442.11c",5.69409234459484,1.86358156749133,0.914576663344755,2.03764390912393,0.0415855574384143,0.0922073216392763
"SPCTRNAPRO.09",0.933888154765681,-3.26352667148418,2.51543137043322,-1.29740238984223,0.194492770671751,0.317850101627151
"SPCC1442.12",124.193913472236,0.0715447720373433,0.186163664260448,0.384311150736969,0.700747844324704,0.79700084642945
"SPCC1442.13c",67.6750957008228,0.299585499404842,0.241596265643287,1.2400253729384,0.214966009492332,0.34333171413066
"SPNCRNA.1229",51.3165672606361,-0.0393825067919273,0.28331577704537,-0.139005696056314,0.88944564794798,0.928643864720591
"SPCC1442.14c",133.352131790104,-0.523342547931655,0.181158126908584,-2.88887148957851,0.00386627045525998,0.0124389325439777
"SPCC1442.15c",58.9784734840528,0.578143704450741,0.260128934174818,2.22252747963133,0.026247679059913,0.0633939519383314
"SPCC1442.16c",208.525110023861,-0.8636276862469,0.148514206237041,-5.81511835216946,6.05910014965772e-09,6.66794198727655e-08
"SPNCRNA.1230",99.3683467566149,-0.365497492919614,0.210608205708062,-1.73543804568685,0.0826632461784475,0.161979129430082
"SPCC1442.17c",64.0765860548732,0.00258553479442822,0.250030200644182,0.0103408899715587,0.991749310593538,0.995689456471412
"SPCC285.03",326.779759826184,-0.176061379223702,0.117303028273903,-1.50091077625547,0.13337864055021,0.236928524986744
"SPNCRNA.1231",76.5234920168166,-0.425871146205171,0.226278166031534,-1.88206910845221,0.0598266330207623,0.124223103195576
"SPCC285.04",115.05757144627,-0.45258749627276,0.186920802527919,-2.42127944108928,0.0154659831942717,0.0408127629250504
"SPNCRNA.1232",27.2890598628439,0.156551555183531,0.375753918399299,0.416633194007493,0.676946725939646,0.778100995802932
"SPCC285.06c",52.3335565379155,1.1945116499964,0.299516241017163,3.98813648949325,6.65943477099046e-05,0.000341634010845624
"SPCC285.07c",8.01577985578493,2.24015753971349,0.799195699258104,2.80301500845542,0.00506273133025705,0.015665766832809
"SPCC285.08",227.791253425672,-0.324994659131414,0.135850475801967,-2.39229680435694,0.0167432963288334,0.0435529968934924
"SPCC285.09c",217.209910911784,-0.000488297006282459,0.150956462907226,-0.0032346876501906,0.997419097165646,0.998004179492771
"SPCC285.10c",162.294778188635,0.859401831266579,0.167235620300329,5.13886832077538,2.76397993664712e-07,2.30827847096001e-06
"SPCC285.11",220.381003288805,0.0145970767454152,0.139806861653126,0.10440887215988,0.916844882200165,0.94739249299587
"SPCC285.13c",256.620634930097,-0.783926888809346,0.133343192009485,-5.87901697113702,4.1271006155033e-09,4.66985198997994e-08
"SPCC285.14",550.171953646781,-0.0939297289916733,0.0974655574448475,-0.963722277429388,0.335185182318032,0.475955983133388
"SPCC285.15c",172.508028554196,-0.709934203958265,0.158199525622277,-4.48758743849415,7.20342509730194e-06,4.60627642351369e-05
"SPCC285.16c",511.932486087985,-0.10547185037892,0.115475619183148,-0.913368996200302,0.3610485058663,0.502112550171467
"SPNCRNA.1233",195.391830680108,-0.688879305289341,0.157846635945835,-4.36423178208074,1.27570263226516e-05,7.77153487495105e-05
"SPCC285.17",330.954499326626,-0.409171942624223,0.122135463265285,-3.35014852922347,0.000807682383210622,0.00314367338161339
"SPNCRNA.1234",105.73814469397,0.375553514731147,0.194403517958758,1.9318246844217,0.0533811482631709,0.112878888218784
"SPNCRNA.10",28.4568913259562,1.42446767081008,0.391367729763615,3.63971672286434,0.00027293813773025,0.00121004347870923
"SPCC1223.02",71.4531397600573,-0.0371553311031051,0.235061540469345,-0.158066398394724,0.874404477900626,0.91751452532691
"SPNCRNA.504",14.718849405431,0.347539364186472,0.519228001271531,0.669338639933493,0.503279483611732,0.636964555125736
"SPNCRNA.1235",188.109491113146,-0.503077144127219,0.198404572558442,-2.53561265065619,0.0112250818738347,0.0311453514429976
"SPCC1223.03c",177.985341533386,-0.537429081989612,0.208908475487164,-2.57255757927655,0.0100950162229794,0.0286039433926033
"SPCC1223.04c",39.0548114056638,-0.856491010712836,0.325636666514007,-2.63020445419034,0.00853335308177727,0.024712677452023
"SPCC1223.15c",23.5692525786652,-0.133123134953991,0.470274872186381,-0.283075160565312,0.777119222161057,0.852871741461913
"SPCC1223.05c",142.205200828736,-1.13525141169071,0.17745743069335,-6.39731685089281,1.58130974733628e-10,2.09500512739329e-09
"SPCC1223.07c",413.595645604886,-1.0714359143055,0.11060299259975,-9.68722354722182,3.41690999562795e-22,1.53378795395852e-20
"SPCC1223.08c",572.620783907316,-0.777576321543284,0.0947119464606503,-8.20990752065623,2.21358921915509e-16,5.5938219415908e-15
